                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7229,                 2.3776,                 1.0804,                 0.8058,                0.78723,                0.84651,                0.44454,                 1.5954,                 1.1946,                 1.0563,             0.00041619,             0.00041619,             0.00041619
                      2,                 1.6265,                 1.2543,                 1.0507,                0.91464,                0.82836,                0.88777,                0.46244,                 1.5579,                0.94075,                 1.0233,             0.00081636,             0.00081636,             0.00081636
                      3,                 1.6149,                 1.0846,                 1.0422,                0.85241,                0.78768,                 0.8554,                0.46779,                 1.5122,                0.92785,                 1.0076,                 0.0012,                 0.0012,                 0.0012
                      4,                 1.5599,                 1.0085,                 1.0351,                0.92252,                 0.8507,                0.90205,                0.52467,                 1.4115,                0.80361,                0.99137,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.5049,                0.93514,                 1.0145,                0.92549,                0.84105,                 0.9148,                0.52723,                 1.4368,                0.83647,                 1.0014,              0.0011757,              0.0011757,              0.0011757
                      6,                  1.472,                 0.8895,                  1.001,                0.92673,                0.87575,                0.92477,                0.55896,                  1.359,                 0.7638,                0.95926,               0.001151,               0.001151,               0.001151
                      7,                 1.4338,                0.84907,                0.99291,                0.93514,                0.88024,                0.93519,                0.57587,                 1.3329,                0.74262,                0.95463,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.4154,                0.83081,                0.98807,                0.95726,                0.90683,                0.95065,                0.57611,                 1.3313,                0.73636,                0.95206,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.3991,                0.81523,                0.98461,                0.97128,                 0.8971,                0.94575,                0.58423,                 1.3085,                0.69468,                0.94182,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.3757,                0.79109,                0.97904,                 0.9496,                0.89918,                0.95186,                0.60548,                 1.2667,                0.69551,                 0.9399,               0.001052,               0.001052,               0.001052
                     11,                 1.3642,                0.77359,                0.96711,                0.95402,                0.92338,                0.95069,                0.60839,                 1.2364,                0.66088,                0.93016,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.3368,                0.75205,                0.96292,                0.96217,                0.92555,                 0.9598,                0.60716,                 1.2496,                0.65625,                0.92916,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.3315,                0.74244,                0.95828,                0.95577,                0.91262,                0.96019,                0.62327,                 1.2159,                0.66666,                0.92438,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.3184,                0.73143,                0.95791,                0.96161,                 0.9368,                0.96274,                0.60643,                 1.2211,                0.63293,                0.92229,               0.000953,               0.000953,               0.000953
