                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5437,                 1.4306,                 1.2234,                0.86285,                 0.6054,                0.74955,                0.40619,                 1.5734,                 1.1293,                 1.2722,             0.00041619,             0.00041619,             0.00041619
                      2,                 1.5321,                 1.0889,                 1.2209,                 0.8155,                0.78092,                 0.8144,                0.45899,                 1.4433,                 0.9608,                 1.2046,             0.00081636,             0.00081636,             0.00081636
                      3,                 1.4863,                0.98008,                  1.185,                0.91834,                0.79635,                0.86024,                0.50425,                 1.3834,                0.88746,                 1.1696,                 0.0012,                 0.0012,                 0.0012
                      4,                 1.4068,                0.89019,                 1.1452,                0.93829,                0.90689,                 0.9465,                 0.5887,                 1.2587,                0.77806,                 1.1135,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3389,                0.82467,                 1.1172,                0.94521,                0.90692,                0.94749,                0.59541,                 1.2236,                0.69515,                 1.0794,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.3035,                0.76823,                 1.0945,                0.96565,                0.92579,                0.95768,                0.60738,                 1.2188,                0.63376,                 1.0566,               0.001151,               0.001151,               0.001151
                      7,                 1.2543,                0.72376,                 1.0849,                0.95887,                 0.8993,                0.95735,                0.61533,                 1.2432,                0.70641,                 1.0611,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.2355,                0.69537,                 1.0688,                0.95679,                0.95821,                0.98674,                0.63099,                 1.2136,                0.62404,                 1.0568,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.2078,                0.67809,                 1.0578,                0.97194,                 0.9444,                 0.9774,                0.67624,                 1.1255,                0.55392,                 1.0268,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.1941,                0.64836,                 1.0549,                0.97365,                0.94998,                0.98098,                0.67341,                 1.1047,                0.54987,                 1.0248,               0.001052,               0.001052,               0.001052
                     11,                 1.1668,                0.62259,                 1.0426,                0.97487,                0.94941,                0.98424,                0.67154,                 1.0967,                0.53451,                 1.0168,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.1557,                0.62186,                 1.0337,                0.97748,                0.95495,                0.98397,                0.68444,                 1.0634,                0.53098,                 1.0067,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.1367,                0.59063,                 1.0255,                0.97667,                0.96339,                0.98751,                0.69007,                 1.0666,                0.51762,                 1.0015,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.1184,                0.59105,                  1.018,                0.97861,                 0.9177,                0.96661,                0.67305,                 1.0635,                0.50337,                0.99972,               0.000953,               0.000953,               0.000953
                     15,                 1.0943,                0.57445,                 1.0146,                0.97841,                0.98101,                0.98984,                0.70495,                 1.0459,                0.49481,                0.98807,             0.00092825,             0.00092825,             0.00092825
                     16,                  1.096,                0.56703,                 1.0137,                0.97737,                0.97866,                0.98916,                0.70013,                 1.0417,                0.49162,                0.98592,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.0904,                0.56198,                 1.0057,                0.98707,                0.96256,                0.98939,                0.69847,                 1.0374,                0.48724,                0.98565,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.0718,                0.54471,                 1.0071,                0.98817,                0.96919,                0.99115,                0.70678,                 1.0269,                0.47341,                0.98266,               0.000854,               0.000854,               0.000854
                     19,                 1.0676,                0.54762,                 1.0058,                0.98297,                0.97456,                0.99238,                 0.7248,                 1.0083,                 0.4594,                0.97879,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.0514,                0.52991,                 1.0042,                 0.9801,                0.95923,                0.98958,                  0.722,                0.99284,                0.46109,                0.96752,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.0262,                0.51642,                0.99197,                0.98677,                0.96614,                0.98696,                0.73618,                0.98953,                0.45251,                0.98406,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.0227,                0.51857,                0.98229,                0.98378,                0.96766,                0.99143,                0.72588,                0.98344,                0.44899,                0.96385,               0.000755,               0.000755,               0.000755
                     23,                 1.0137,                0.50823,                0.98008,                0.98934,                0.97352,                0.99298,                0.73775,                0.97346,                   0.45,                0.95724,             0.00073025,             0.00073025,             0.00073025
